,release_date,artist,title,album,lyrics
10,2016-07-04,Népal,444 nuits,444 Nuits,"[Paroles de ""444 nuits""]

[Couplet unique]
Une de plus et ça va parler sanskrit
Le mot ""frère"" apparaît trop souvent dans ton script
J'serais pas l'même sans C.R.E.A.M, sans Concrete
Balancer des dingueries, ma le-gueu sans grillz
Impression d'déjà vu dans les propos
Flow, on en abuse de nos
Comme les tapins, j'fais mon gent-ar sur le dos
Ça apprend l'langage des signes pour gérer plus de gos
Que des textes à l'ancienne, autant d'ex-moi
Serons-nous condamnés à l'exploit ?
Le plat s'mange froid si y'a l'temps d'attendre
Clope, trois points en envoyant la cendre
Casquette desserrée, j'mets un cran d'avance
Ça parle keuf quand ça voit un grand blavanc
Tente ta chance quand tout l'monde abandonne
Là pour ger-chan la donne, le reste on s'en balance
444 nuits à sillonner l'dôme
44 prods, le même tempo, ma foi c'est pas celle des autres
Mais on vit dans l'même désordre
Donc universel avec un Shenzhen flow
Quatre du zbar à réviser les ninpō
Classe S, nan j'te parle pas d'gov'
Vocable extendo quand on crée l'del-bor
Toute l'équipe est fonsdée, sur scène danse le fandango
Mon gars effrite sa rrette-ba
Ses yeuz deviennent roses comme l'eau du Retba
Dimension fêlée, jamais j'la répare
Bien caché derrière une paire de Ray-Ban
Jamais plus reil-pa, de l'hosto à Yellowstone
Une paire de Bose, go péter un billet low cost, ma le-gueu
Depuis l'temps qu'on cherche autre chose
Taffe l'osmose, pas d'eau d'rose, vas-y casse ta pose, ma le-geu
Question mystique, j'me demande quels amis t'as lâché pour atterrir en face de oim
Masqué comme DC, oui dissimule les paires de gants pour les traces de oigts-d
Le temps défile de plus en plus vite
Il m'faut juste un moment comme Quan
Juste un moment pour qu'les têtes bougent
Et crois-moi, ils vont avoir de quoi"
11,2017-09-21,Népal,Kodak White,445e Nuit,"[Paroles de ""Kodak White""]

[Refrain]
Jeune blavan, guette le temps s’écouler, posé dans son tieks
Plus d’phone-tel, couplet & clope coupée, gros c’est dans ta tête
KKK, y’a plus l’temps d’jouer, tous les jours la même
Ouais ouais ouais, nan j’veux pas d’bouée, bateau sur la mer
Jeune blavan, guette le temps s’écouler, posé dans son tieks
Plus d’phone-tel, couplet & clope coupée, gros c’est dans ta tête
KKK, y’a plus l’temps d’jouer, tous les jours la même
Ouais ouais ouais, nan j’veux pas d’bouée, bateau sur la mer

[Couplet]
J’fais des tours, gros c’est pas terrible, gros c’est quoi l’délire
Au départ, t’avais v’là les rimes, maintenant t’as v’là les rides
On est àl, voit qu’la surface des rêves comme en Amérique
Prends mon oid, si tu pensais qu’on f’sait ça par intérim
Oh Népal, d’jà c’est quand tu bombardes, gros faut qu’t’atterrisses
T’as les stuff, et fais pas comme si on t’l'a pas assez dit
Que du bluff, du coup j’pose ça vite après tu l'masterises
Usain Bolt, ils font tout l’chemin juste pour qu’j’les cace-dédi
Wagadem, c’est juste oim ou tes rappeurs font grave tié-pi ?
Ils ont mal, archiver leur âme juste pour bicrave des disques
Moi c’est calme, tu peux m’trouver cherche un Mister Nobody
Oui docteur, j’suis en bonne santé, moi j’fume pas d’brocoli
Baisse un peu, va plus lentement là gars nan c’est trop rapide
Trop facile, oui l’putain d’secret c’est reste vrai on t’a dit
Bombastick, mes gars roulent des battes, fly comme des volatiles
C’est la vie, et j’profite du monde pendant qu’j’le contamine

[Refrain]
Jeune blavan, guette le temps s’écouler, posé dans son tieks
Plus d’phone-tel, couplet & clope coupée, gros c’est dans ta tête
KKK, y’a plus l’temps d’jouer, tous les jours la même
Ouais ouais ouais, nan j’veux pas d’bouée, bateau sur la mer
Jeune blavan, guette le temps s’écouler, posé dans son tieks
Plus d’phone-tel, couplet & clope coupée, gros c’est dans ta tête
KKK, y’a plus l’temps d’jouer, tous les jours la même
Ouais ouais ouais, nan j’veux pas d’bouée, bateau sur la mer

[Outro]
Young nigga, I got old cash, spazzin' on they ass
I got Prada on my hoe ass, got my last one mad
Pop a nigga like a damn tag, shoppin' on they ass
I just bought a new old Jag, yeah, it's so fast
Smokin' flocka, you a jackass, all I smoke is gas
Don't you ask me where the pole at, where your clothes at?"
12,2017-09-21,Népal,Niveau 1,445e Nuit,"[Paroles de ""Niveau 1""]

[Intro]
Module d'entraînement chargé
Entraînement : niveau 1, producteur : Stratega
Sélectionnez un niveau de difficulté
Niveau de difficulté intermédiaire
Enclenchement des modules de démarrage imminent
Trois, deux, un, yo

[Couplet 1]
Les politiques s’engraissent en costard gris anthracite
Des djonks sans lacets, des travs en survêt’ du Milan AC
Le zen dans la cess, un loser ressasse son bilan à sec
Les keufs cherchent des Arabes, f'raient un perfect en vidant la Seine
Pas d’effet d’mode, Paris j’y suis né comme mes potes dans la serre
Bellek à pas re-rater ta vie en t’repassant la scène
Cousin, j’ai l’passe-temps brasier, j’peux t’faire un speech en laser
J’ai les brava tah Brazzers, la-celle crois que j’vais l’embrasser
T’es un peu salé quand t’as d’jà fait trois fois l’tour de l’assiette
La sape est basique ou très rare, moi pas comprendre EA7
C’est vrai qu’toi aussi tu rappes mais c’est pas tellement l’même tracé
On est dans l’son, gros, ça fait même golri quand y’a du larsen
C’est flippant pour un SMIC d’les voir s’agiter comme Duracell
Ils t’font croire que la rotte-ca, soit tu t’la mange soit tu l’assènes
Cousin c’est pas serieux, cousin c’est lassdeg
On s’doit d’garder l’equilibrium comme les moves de la stead

[Refrain 1]
J'ai plus trop d’cypher skills mais j’ai mon Libra Scale
On sort les light sabers quand c’est l’temps d’les brusquer
Toujours dans l’œil du cyclone comme Sergio Busquets
Va falloir plus de zéros pour nous débusquer
J'ai plus trop d’cypher skills mais j’ai mon Libra Scale
On sort les light sabers quand c’est l’temps d’les brusquer
Toujours dans l’œil du cyclone comme Sergio Busquets
Va falloir plus de zéros pour nous débusquer

[Pont]
Checkpoint : modification du système de rimes

[Couplet 2]
J’veux pas tuer la concurrence comme Nespresso et Mac
Y’a déjà pas assez d’bons MC’s, gros, la pression c’est quoi ?
Dans c’pays d’cistes-ra conventionnés notre son passe sous les mailles
Pour les faire chier si j’ai un mioche, j’l’appelle exprès Souleymane
Neuf du mat’ ligne 10, pour m’endormir, j’compte les Stan Smith
Nouvelle destination pour mes Laxistes
Cousin, on prend l’llet-bi et on s’taille
Si des types chelou les font pleuvoir sur nous, crari leurs blazes c’est Lakshmi
Parle-moi d’tout sauf d’argent, j’en ai assez fait cette année
Au phone avec la miff en Thaïlande donc y’a une latence
Le bus a roulé toute la nuit
J’ai eu l’impression d’comprendre des sons que j’saignais depuis
Et puis quoi d’autre ? J’aime bien écrire sous insomnies
Puis ça fait six mois qu’j’avais rien sorti
À part deux-trois bêtises un brin sordides
J’repousse l’heure de dormir, mes rêves pourraient régler mes problèmes trop vite
On roule comme des teille-bav de Selecto vide

[Refrain 2]
On sort les light sabers quand c’est l’temps d’les brusquer
Va falloir plus de zéros pour nous débusquer
Toujours dans l’œil du cyclone comme Sergio Busquets
Va falloir plus de zéros pour nous débusquer

[Outro]
Veuillez redéfinir le niveau de difficulté
Niveau de difficulté avancé
Démarrage du niveau 2"
13,2020-01-10,Népal,Crossfader,Adios Bahamas,"[Paroles de ""Crossfader""]

[Refrain]
J'ai toujours mené ma life en Crossfader
L'autre côté d'mon âme, c'est mon ghostwriter
J'ai toujours mené ma life en Crossfader
L'autre côté d'mon âme, c'est mon ghostwriter

[Pont]
One up, one down, j'dois trouver une issue au labyrinthe sans m'retourner j'avance, one up, one down, j'dois trouver une issue au labyrinthe

[Couplet 1]
Tapi dans l'ombre en laissant passer les heures (en laissant passer les heures)
J'imagine ce qui rendrait ma vie meilleure (c'qui rendrait ma vie meilleure)
J'peux pas rester figé tant qu'il m'reste un cœur (j'peux pas tant qu'il m'reste un cœur)
Les saisons passent mais moi, j'aimerais être ailleurs (mais moi, j'aimerais être ailleurs)

[Pont]
One up, one down, j'dois trouver une issue au labyrinthe sans m'retourner, j'avance
One up, one down, j'dois trouver une issue au labyrinthe
One up, one down
One up, one down

[Couplet 2]
Quand l'instru est bonne et qu'y'a rien à glander, j'écris des bes-tu comme Ariana Grande
J'viens faire le ffre-co du bail les mains gantées, pas d'son-pri, si ça foire on l'aura tenté
D'accord t'aimes bien la mélo mais les lyrics ? Pourquoi tu gâches la magie dans ton iris ?
Nage dans matrice comme océan d'Actavis, condamné au dur réveil de l'activiste
J'dois rester froid quand les zombies s'approchent, si des succubes m'envoient que cent démos
T'as tendance à vouloir fermer ta bouche quand tu connais la vraie puissance des mots
J'tracerai ma route sans abuser des cartes, j'ai d'jà bien rôdé les ruses et les failles
La peur du vide peut pas creuser d'écart, maintenant on va pas s'excuser d'être là (nope)

[Refrain]
J'ai toujours mené ma life en Crossfader
L'autre côté d'mon âme, c'est mon ghostwriter
J'ai toujours mené ma life en Crossfader
L'autre côté d'mon âme, c'est mon ghostwriter

[Outro]
One up, one down
One up, one down"
14,2017-09-21,Népal,Deadpornstars,445e Nuit,"[Paroles de ""Deadpornstars"" ft. Doums]

[Refrain: Népal]
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs

[Couplet 1 : Népal]
Tu voudrais roller les dices, tu voudrais compter les thousands
T’enjailler, popper des taz, sniffer des rails, faire le Dyson
Dix tasses-pé assises en tailleur, j’suis dans la musique, Bryson Tiller
J’suis dans ton veau-cer, Durden Tyler, R.E.P Alicia Tyler
Dans l’équipe, on est des feinteurs, ai-je pris Marine en otage ?
Ou bien Marion Maréchal ? And I put my hands on her thighs
Il s’en est passé du time, l’époque où j’ratais v’là les classes
Maintenant, on bosse pour les classiques, so I spin my hand on the dice
Écartez-vous, j’pop la mayonnaise, on sait comment faire la maille honnêtement
Go c’est paro tellement j’té-mon l’Die-O-Metre
Vestige du passé comme Dahomey, 5 000 dégâts au mètre
Des mauvais calomnièrent, provoquèrent dingueries puis ratèrent leur kaiokken
Dites-moi j’mets K.O l'quel ? On montre le plus fort j’dis : ""Ok... ok... ok...""
Bientôt j'vais pop dans un casque, l’humanité est bien paz
IRL c’est pas très Charlie, IRL c’est pas très squad
445ème nuit dans l’brouillard, pas du genre à déclarer les bails
Gare-ci, calmant flavow dix ans d’âge, on arrive stuffés en Y comme Isengard
Mets tes MC’s en garde

[Refrain: Népal]
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs

[Couplet 2 : Doums]
T’as pas d’biff pour une Rolex, dis-moi pourquoi tu veux feat ?
Relax, j’te recale comme Mia Khalifa, relax, j’te recale comme Mia Khalifa
J’viens carry le game comme Anissa Kate, de Place Clichy jusqu’à Bir Hakeim
J’pète la *bip* à l’exter’, j’la bir à quai, y’a pas de contrôle le circuit est piraté
Goûte mes litchis, *bip*, fini de parler, fais pas la belle ici-bas
T’es plus Nikita que Bellucci, quand j’rentre dans ta *bip*, t'as déjà la *bip bip bip*
Goûte à ma beuj, rentre dans le eu-j, savoure-la comme de la
Tu voulais du buzz, ramène ta, j’cracherai mon jus dans ses
Bientôt, j'vais pop dans un casque (j'vais pop dans un casque), l’humanité est bien paz (l’humanité est bien paz)
IRL c’est pas très Charlie, Bahamas c’est pas très squad
7-5 double 0-9, c’est le Redlight, les gue-shla veulent la peuf
J’me la *bip* bien la keuf, j’garderais mes chaussettes et ma paire de Nike neuves
Pour toi et ton égo, j’ai deux linceuls, S/o Donald Trump

[Refrain: Népal]
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs
I spin my hand on the dices
I put my hand on her thighs"
15,2020-09-29,Népal,Cheddar,none,"[Paroles de ""Cheddar""]

[Intro]
Wouuuh
Azaguazagua (Yo)
Tu sais c'qu'il m'faut toi, j'sais c'qu'il m'faut moi...
Ce qu'il m'faut, c'est...

[Refrain]
C'qu'il m'faut c'est plus de cheddar, garder l'contrôle tah les jedi
Envoyer du fire comme Jehda
Pas b'soin d'aller loin pour sentir le jetlag, on dit qu'le bonheur s'achète pas
Que l'sheitan choisit bien ses chettes-ca
J'suis dans la salle du temps avec un jetpack donc en vrai ça m'aide pas
À ressasser des 16 que j'connais cœur par
Mon inspi' nan, j'l'ai pas trouvé terre par
Né en l'vant les yeux au ciel, pеnsées vers l'éternеl mais tout ça s'trouvait là, en face de moi

[Couplet unique]
Si l'monde est devant toi, t'attends quoi ma leu-gue ? (hum)
Retrouver des vrais sentiments, c'est ma re-gue (ok)
Me battre pour désinstaller c'qu'ils ont mis en moi
Cette putain d'flemme qui fait qu'j'pourrais m'laisser mourir sans m'arrêter
La volonté est là, cette âme, c'est pas celle d'un autre (pas celle d'un autre)
La force qu'elle peut cont'nir chaque jour, frérot you don't know (no you don't know)
L'ennemi s'retrouve adouci comme le whisky dans l'eau
Mes portes de sortie vers un monde meilleur, frérot j'les download
Y a un espoir tant qu'on avance
Tant qu'il restera une pensée contraire à la dominante
Tant qu'on pourra s'élever spirituellement, échappant aux forces abominables
Qui nous aliènent et font qu'on consomme le drame comme un condiment
On m'complimente mais j'suis qu'un con moi
Qui a eu l'audace d'organiser l'monde qu'il avait en continent
En combinant, les lumières et les ombres, j'ai créé un bug dans l'système et j'compte bien l'baiser en continuant

[Refrain]
C'qu'il m'faut c'est plus de cheddar, garder le contrôle tah les jedi
Envoyer du fire comme Jehda
Pas b'soin d'aller loin pour sentir le jetlag, on dit qu'le bonheur s'achète pas
Que l'sheitan choisit bien ses chettes-ca
J'suis dans la salle du temps avec un jetpack donc en vrai ça m'aide pas
À ressasser des 16 que j'connais cœur par
Mon inspi' nan, j'l'ai pas trouvé terre par
Mais en l'vant les yeux au ciel, pensées vers l'éternel mais tout ça s'trouvait là, en face de moi

[Outro]
Na na, na na na
Na na, naaa
Na na, na na na
Na na, naaa"
16,2020-01-10,Népal,"Ennemis, Pt. 2",Adios Bahamas,"[Paroles de ""Ennemis, Pt. 2"" ft. Di-Meh]

[Intro : Di-Meh & Népal]
Don't you tryna fight, better get to know your enemy
Don't you tryna fight, better get to know your enemy
Don't you tryna fight, better get to know your enemy
Don't you tryna fight, better (brrr brrr ko ko ko)
Don't you tryna fight, better get to know your enemy (hun haa)
Don't you tryna fight, better get to know your enemy (hun haa)
Don't you tryna fight, better get to know your enemy (hun haa)
Don't you tryna fight, better get to know your enemy

[Couplet 1 : Népal]
Hey, hey
La même prière le matin quand j'me lève
Que j'sois à Paname ou Los Angeles
Tu vis l'instant, la suite, c'est dans tes rêves
Tout devient prétexte à s'monter en l'air
Pleurer, ça fait du bien mais ça sert à R
Ça reste important si tu t'en rappelles
L'amour qu'elle m'a fait sentir dans ses lèvres
La victoire devient lisible sur mes cernes
Sous lean, j'envoyais des glaviots roses
Vu sous cet angle, c'était maravillos
Cerveau humain, j'finis pas ma vie haut
Tout est bien, si j'té-cal pas d'Adios
Depuis la nuit des temps, message reste le même
La peur, le courage, l'amour et la haine
La même prière le matin quand j'me lève
J'ai toujours ce corbeau au-d'ssus de ma tête

[Pont : Di-Meh & Népal]
Essaye pas d'te battre avant de connaitre ton ennemi
Essaye pas d'te battre avant de connaitre ton ennemi
Essaye pas d'te battre avant de connaitre ton ennemi
Essaye pas d'te battre avant de connaitre ton ennemi
Essaye pas d'te battre avant de connaitre ton ennemi
Essaye pas d'te battre avant de connaitre ton ennemi
Essaye pas d'te battre avant de connaitre ton ennemi
Essaye pas d'te battre avant de connaitre ton ennemi

[Pont : Népal]
Ton ennemi, ton ennemi, ton ennemi, ton ennemi

[Couplet 2 : Népal]
Les cerveaux des p'tits s'font endommager par des sons d'merde qu'on a pliés en dix minutes
Plus j'avance dans l'air vicié, plus mes occasions d'faire c'que je suis censé faire diminue
Tiens-moi la main, sers la fort, on s'reverra du coté obscur de la demi-lune
Malgré l'illusion du choix, quand ton âme sera prête, tu verras qu'y a pas deux issues
Un homme marche en bas, dans son esprit, la fin du monde telle qu'il l'a toujours connue
Fragment d'ma vie dans un chorus, y a qu'pour un dos nu qu'j'ai du tonus
Et pourtant, j'dois sortir du mud et m'remémorer la cause qui un jour fut commune
C'est dangereux si tu t'fies plus qu'aux vues, belek à pas prendre une prune au stud'"
17,2019-11-21,Népal,Là-bas,Adios Bahamas,"[Paroles de ""Là-bas""]

[Refrain]
C'est sûrement facile de parler, Là-bas j'finirai par y aller
J'brasse dans une mare de pétrole, pas envie d'répondre à des ordres
Ils ont fait des bateaux en papier, sans mentir j'aurai rien sans parier
Surfe sur la vague de mes torts, plus l'temps d'répondre à des hommes, hey ya
Si l'occasion passe, j'la fais circuler
Si l'occasion passe, j'la fais circuler

[Couplet 1]
On sait très bien comment faire ici, tire-les vers le bas, ils t'félicitent
Leur avis n'a pas la même valeur, leur vie n'a pas la même saveur
Mais tu considères ça comme des récits, ta conscience te mènera vers des récifs
Noyé dans rivière de malheurs, RDV on s'rappelle t'à l'heure
Et y a ces rêves qui m'empêchent de dormir, ces choses qu'on fait juste pour l'adrénaline
Ils ont fait tout pour, on n'est jamais partis, toute ma ville dans un état léthargique
Si j'peux fly, j'dois penser à l'atterrissage
Concentré sur l'time, c'qui m'ferait changer d'paysage

[Refrain]
C'est sûrement facile de parler, Là-bas j'finirai par y aller
J'brasse dans une mare de pétrole, pas envie d'répondre à des ordres
Ils ont fait des bateaux en papier, sans mentir j'aurai rien sans parier
Surfe sur la vague de mes torts, plus l'temps d'répondre à des hommes, hey ya
Si l'occasion passe, j'la fais circuler
Si l'occasion passe, j'la fais circuler

[Couplet 2]
En équipe comme les Avengers, ouh wow
Ramène le blé pour la mansion, ouh wow
Plus de va-et-vient qu'un flanger, ouh wow
On n'a pas choisi cette existence mais on en paye le prix
Notre monde ou bien cette vie
Est-c'que j'vois cette réalité comme une projection d'mon esprit ?
J'essaye juste de vivre, han
Avance vers la cime

[Refrain]
C'est sûrement facile de parler, Là-bas j'finirai par y aller
J'brasse dans une mare de pétrole, pas envie d'répondre à des ordres
Ils ont fait des bateaux en papier, sans mentir j'aurai rien sans parier
Surfe sur la vague de mes torts, plus l'temps d'répondre à des hommes, hey ya
Si l'occasion passe, j'la fais circuler
Si l'occasion passe, j'la fais circuler"
18,2017-09-21,Népal,Insomnie,445e Nuit,"[Paroles de ""Insomnie""]

[Intro]
Obéir au braqueur c’est s’assurer d’prendre un coup d’crosse, ma le-gueu. Mais la question c’est : est-ce que t’es chaud d’tenter la balle dans la tête ?

[Couplet]
On s’en bat les steaks de faire des punchlines
Si t’as rien capté au diez ma le-geu, c’est même mieux
On pose pas des mines, on met des touchdown
Et fi dar, on tré-ren dès que s’met à ter-mon l’sunshine
Code de l’honneur variable, gava malléable
La vie, ses aléas t’amèneront vers le Démon
Spankbang ouvert, navigation privée sur l’tec
Un mouvement suspect *bruit de corbeille sur Mac OS X* poubelle
J’en ai rien à battre de faire des textes propres (rwhooo)
C’est devenu cile-fa gros y’a que des escrocs (ah ouais ?)
J’vais cloner Controlla, ça f’ra une exclu' et des excuses
Si tu voulais récupérer ton ex-go
Me remercie pas mino, c’est mieux tu prépares la suite
Tout ça c’est bre-som comme dans la tête à Despo
J’suis même trop dedans pour utiliser l’comparatif
Elle ta péfra la weed mais tu fais cevi t’es despi donc
On s'en bat les steaks de faire des textes crus
Car aujourd’hui c’est les gens pieux qu’on exclut, nan ?
Archi la flemme de level up ses vertus
Quand tu vois qu’des *glitch* level up leurs vies avec une  *glitch*, nan ?
L’insomnie m’a rendu bizarre, l’impression d’sentir le mal-être de tous les gens qui passent
À la base, j’suis un gentil gars, mais j’crois qu’le sur-place m’a rendu paz
J’guette les fe-meus et les tes-traî comme un dique-sa
En un regard, une destinée peut partir en vrille
J’ai l’impression qu’ils troquent leurs pupilles contre des plaques d’égout
Cousin c’est morbide, j’ai envie d’fumer un Apple Store
Mais j’me contenterai d’hacker Logic
Et tous les soirs, fœtus sous l’imperméable
J’fume des clopes, j’graille plus d'céréales
L’insomnie m’a rendu chelou mais j’crois bien qu’j’aime ça J'continue d’voir le de-mon comme il est pas, ma le-gueu c’est

[Refrain]
L’insomnie m’a rendu bizarre
Pour le monde à l’envers, j’me suis pris un visa
On s’ressemble tous, j’distingue plus les visages
Tous les mirages disparaissent dans la nuit noire
L’insomnie m’a rendu bizarre
Pour le monde à l’envers, j’me suis pris un visa
On s’re, on s'ressemble tous, plus les, plus les visages
Tous les, tous les mirages dispa la, dispa, la nuit noire

[Outro]
Ché-mar dans la ville, sous insomnie
Slide dans la ville, sous insomnie
Ché-mar dans la ville, sous insomnie
Slide dans la ville, sous insomnie
Ché-mar dans la ville, sous insomnie
Slide dans la ville, sous insomnie
Ché-mar dans la ville, sous insomnie
Slide dans la ville, sous insomnie"
19,2016-07-04,Népal,Oxmose,444 Nuits,"[Paroles de ""Oxmose""]

[Intro : samples]
Appelle-moi le poème-lanceur, à mes heures ambianceur
J'suis celui qu'ton équipe redoute, que des triple-doubles
Moi j'me donne le droit de faire ma vie avec mes propres choix
Cherche un sens à ta vie avant d'exercer flow, phases
Quoi d’neuf ? Tu sais comment j’oublie personne sur la route
Dans ma vie les filles changeaient d'nom mais avaient toutes le même goût
En pleine journée j'vois qu'des hibous

[Couplet 1]
À moi tout seul j'suis une école, un institut qui bosse avec le feeling
Porté par mes gavas : j'fonctionne comme le génie civil
J'cherche l'équilibre dans cette city comme les deux autres milli
Où s'mélangent celtes et sémites, depuis des décennies
J'rappe pas pour un crédit, m'faire lécher les oid' par ton squad
T'seras pas moins conne en f'sant des séries d'squats, qu'est-ce que ces bitches croivent ?
C'est pas un scoop, le monde est froid
Pour ça qu'j'évite ces fois où j'pourrais réfléchir à c'que j'f'rais si ça foire
Et j'suis en apnée totale, masqué comme d'hab
Les anges de gauche et droite disent : ""Déconne pas""
Rentrer en école d'art ou leur tailler des costards
Si j'tiens les bonnes ficelles j'pourrai déclencher des orgasmes
Ouais, c'est comme ça, faut qu'j'rêve avant d'crever
Pas b'soin d'une analyse : j'sais qu'pour eux c'est la même
J'peux laisser tomber l'flow, faire pleuvoir la grêle, enfoiré
Et c'lui qui veut ma peau qu'il s'tienne éloigné du soleil et qu'il mette bien d'la crème

[Refrain 1]
À moi tout seul j'suis une rumeur, un lunatique, un sage poète
Entre ""¿ Cómo está ?"" et ""Vatch fouder""
L'enfant seul avec un joint d'pollen
Entre soul food et cash money (money, money, money)
À moi tout seul j'suis une section, un Saïan, un shit squad
Entre ""Tous ensemble"" et ""Chacun pour soi""
Le feu à Jon Smoke mais j'tire pas, perdu dans l'coma

[Couplet 2]
À moi tout seul j'suis une caution, un daltonien qui fait des arc-en-ciel
Me remémorant des bails à l'ancienne, j'gratte mon 16
Toujours la même gnaque malgré qu'les années passent, si c'n'est plus
J'fais qu'partager c'que mes failles concèdent
16 sur 16, quette-ma sur quette-ma
J'rappe à en ber-ger, on peut appeler ça l'syndrome 8 Mile
Atteint d'quel mal ? J'ai ma p'tite idée
J'y réfléchirai mieux quand j's'rai au beurre dans les Calanques à seille-Mar
Mais on r'vient toujours à Paname comme pigeon malade
Pour ces conneries y'a plein d'dictons valables
Des proches ont vrillé, on n'a pas su calculer l'décalage
Tu r'grettes l'époque où t'envoyais l'p'tit reuf en mission salade
Des choses ont changé depuis : le p'tit est parti en couille
Et quand il parle tout seul au balcon l'soir, tu t'demandes si t'as fait l'bon move
Tu cogites, les veaux-cer tournent comme des usines
Ça s'finit à l'hosto avec un Ipod et cette foutue musique

[Refrain 2]
À toi tout seul t'es une rumeur, un lunatique, un sage poète
Entre ""¿ Cómo está ?"" et ""Vatch fouder""
L'enfant seul avec un joint d'pollen
Entre soul food et cash money (money, money, money)
À toi tout seul t'es une section, un Saïan, un shit squad
Entre ""Tous ensemble"" et ""Chacun pour soi""
Le feu à Jon Smoke mais tu tires pas, perdu dans l'coma
Entre Idlewild et Stankonia"
20,2018-09-23,Népal,Omotesando,#KKSHISENSE8,"[Paroles de ""Omotesando""]

[Couplet unique]
J'ai entendu ton son sur les ondes, tu peux r’mercier les quotas
Une vie bercée par l'illusion en tapant untel sous-coté
J'lance les dés jusqu’au jour où ma carcasse s'retrouve sur l'côté
Vu qu'j'm'en beurre, j'crois qu'j’ressemble à mon daron comme Sangoten
J’veux pas reproduire ses erreurs
Pourtant ses réussites sont pas à ma portée, some crazy shit, c'est un bordel
Le wari, moi, j’l'intercepte gros, jamais j'cours après l'papier
Considération de mec à zeu-lai, j’te l'accorde faudrait qu'on s'aime
Des années, j'en ai quasi trente, glande pinéale calcifiée
Tous les rêves sont quadrillés, matrixé récalcitrant
Texte acide tah les citrons, un cavul des likes fascinants
T'es comme Macron, t'es jeune, tu dis d'la merde du coup, on t'a signé (GG)
Peu importe c'que t'as fait de bien, on t'oubliera man (hey)
Moi, juste un blavan dans une North Face comme Tobirama (hey)
Ressaisis-toi poto, c'est plus pour oim qu'un hobby la night
Déjà qu'leurs labels s'demandent si la magie ça s'copyright pas
Si ça peut rapporter du biff, on parle du milli'
On parle de ""I'm Illy"" la concurrence sur Ameli
J'les tiens à distance comme Kilik donc fais pas l'silly
Le vrai sens d'être au-dessus quand t'auras visité l'ceiling
Toutes les portes scellées, j'te parle d'une croisière genre interstellaire
Tu m'parles de gros porcs, rayon porcelaine
Ça n'a aucun sens frère, c'est comme ce rêve
J't'avais dit qu'j'forcerais, tu deviendras c'que tu crains à force de l'être
Tu pensais encore des sublis genre vraiment ?
Genre j'pé-ra pour quoi moi ? Genre la race des serpents ?
Genre j'attrape la bave d'un fils de pute et puis j'm'en sers d'encre ?
Genre j'me tape pas contre oim ? Genre ça, c'est pas flagrant ?
Au fond, tu sais plus d'quoi tu causes
Mais y'a pas d'heure pour raconter son dos surtout sur une surface d'réparation sans goal
Les 'ients sont descendus sans cons' et sont r'montés sans love
Ambiance YTP RDV Omotesandō
Fuck tes caméras, j'suis au calme à la Kamehouse"
